Time,Signal,Label
62.276,-0.042580758,AORTICSCLEROCIS
62.28,-0.035415234,AORTICSCLEROCIS
62.284,-0.071720558,AORTICSCLEROCIS
62.288,-0.131751729,AORTICSCLEROCIS
62.292,-0.059618783,AORTICSCLEROCIS
62.296,0.09085723,AORTICSCLEROCIS
62.3,0.139582796,AORTICSCLEROCIS
62.304,-0.032071322,AORTICSCLEROCIS
62.308,-0.112802898,AORTICSCLEROCIS
62.312,0.023501301,AORTICSCLEROCIS
62.316,0.099615093,AORTICSCLEROCIS
62.32,0.123181707,AORTICSCLEROCIS
62.324,0.185123685,AORTICSCLEROCIS
62.328,0.1113984,AORTICSCLEROCIS
62.332,-0.100223421,AORTICSCLEROCIS
62.336,-0.194171409,AORTICSCLEROCIS
62.34,-0.108822051,AORTICSCLEROCIS
62.344,0.015539607,AORTICSCLEROCIS
62.348,0.059169689,AORTICSCLEROCIS
62.352,0.036399245,AORTICSCLEROCIS
62.356,-0.038440677,AORTICSCLEROCIS
62.36,-0.099427252,AORTICSCLEROCIS
62.364,-0.072994429,AORTICSCLEROCIS
62.368,-0.029842048,AORTICSCLEROCIS
62.372,-0.044332331,AORTICSCLEROCIS
62.376,-0.023154225,AORTICSCLEROCIS
62.38,0.061876665,AORTICSCLEROCIS
62.384,0.113946142,AORTICSCLEROCIS
62.388,0.051685697,AORTICSCLEROCIS
62.392,-0.093376365,AORTICSCLEROCIS
62.396,-0.199426126,AORTICSCLEROCIS
62.4,-0.190349796,AORTICSCLEROCIS
62.404,-0.100701123,AORTICSCLEROCIS
62.408,0.025571341,AORTICSCLEROCIS
62.412,0.133213441,AORTICSCLEROCIS
62.416,0.228753767,AORTICSCLEROCIS
62.42,0.245632558,AORTICSCLEROCIS
62.424,0.132417272,AORTICSCLEROCIS
62.428,0.01442497,AORTICSCLEROCIS
62.432,-0.016944104,AORTICSCLEROCIS
62.436,-0.009619346,AORTICSCLEROCIS
62.44,0.020475857,AORTICSCLEROCIS
62.444,-0.00197612,AORTICSCLEROCIS
62.448,-0.082229993,AORTICSCLEROCIS
62.452,-0.100223421,AORTICSCLEROCIS
62.456,-0.053567896,AORTICSCLEROCIS
62.46,-0.054204831,AORTICSCLEROCIS
62.464,-0.048790879,AORTICSCLEROCIS
62.468,0.033373801,AORTICSCLEROCIS
62.472,0.069042189,AORTICSCLEROCIS
62.476,0.008851784,AORTICSCLEROCIS
62.48,-0.017262572,AORTICSCLEROCIS
62.484,0.021590494,AORTICSCLEROCIS
62.488,0.032577632,AORTICSCLEROCIS
62.492,-0.013281725,AORTICSCLEROCIS
62.496,-0.044650799,AORTICSCLEROCIS
62.5,-0.02745354,AORTICSCLEROCIS
62.504,0.041017027,AORTICSCLEROCIS
62.508,0.120474731,AORTICSCLEROCIS
62.512,0.02143126,AORTICSCLEROCIS
62.516,-0.187324352,AORTICSCLEROCIS
62.52,-0.170604795,AORTICSCLEROCIS
62.524,-0.029842048,AORTICSCLEROCIS
